wavelength,flux
8002.02513350353,7.129772186279298e-17
8003.8703828257185,6.781505107879639e-17
8005.711662689007,6.752385616302491e-17
8007.557762116685,5.998896598815918e-17
8009.399890256734,5.640722274780274e-17
8011.246840181541,5.839610576629639e-17
8013.089816989152,7.886579036712647e-17
8014.933217771153,1.579097080230713e-16
8016.781443669065,1.845067596435547e-16
8018.625693704934,1.142661952972412e-16
8020.474771079641,7.957039833068849e-17
8022.319870760626,8.473020553588868e-17
8024.169800004403,9.191299438476563e-17
8026.015749721937,2.26094970703125e-16
8027.862124097778,3.8340923309326175e-16
8029.713331372934,2.9039367675781254e-16
8031.560556372574,1.2430049896240235e-16
8033.4126164980435,8.015487670898439e-17
8035.260692513366,6.703238010406495e-17
8037.1136058820575,6.08786153793335e-17
8038.9625333051235,5.67209005355835e-17
8040.811886071513,5.67761516571045e-17
8042.666079533179,5.990902423858642e-17
8044.5162842955115,5.85723876953125e-17
8046.371331983226,5.4690594673156745e-17
8048.222389134015,5.2784051895141605e-17
8050.078291441319,6.130456924438477e-17
8051.930201373261,9.498988151550293e-17
8053.782537334649,1.3629508018493652e-16
8055.639721799848,1.1240909576416017e-16
8057.492911131535,6.511684417724609e-17
8059.350951200737,5.593310356140137e-17
8061.20499429587,7.918973445892335e-17
8063.063890363252,1.803213119506836e-16
8064.91878761516,2.123033905029297e-16
8066.774111583743,1.1859653472900392e-16
8068.634291877271,6.031861782073975e-17
8070.490470592727,5.3910503387451175e-17
8072.351507870434,5.1904721260070805e-17
8074.208541726544,5.154617309570313e-17
8076.070436383243,5.512711524963379e-17
8077.928325773971,6.190313339233399e-17
8079.786642569711,6.208519458770752e-17
8081.649823524143,5.737098693847657e-17
8083.508996445551,5.4801216125488285e-17
8085.373035766566,6.278300285339356e-17
8087.233065208057,6.874816417694092e-17
8089.097963291104,6.195475101470947e-17
8090.958849647277,5.2744078636169436e-17
8092.8201640979105,5.7740478515625e-17
8094.686350553621,8.107049942016602e-17
8096.54852251094,9.057661056518555e-17
8098.415568717865,6.698430061340332e-17
8100.278598576922,5.708251476287842e-17
8102.146504931151,7.819041252136231e-17
8104.01039308718,1.2334042549133301e-16
8105.874710028231,1.1831022262573243e-16
8107.7439068334,7.488813877105714e-17
8109.609082664381,5.975084304809571e-17
8111.479140607633,5.856676578521729e-17
8113.345175724235,5.727217674255371e-17
8115.216095202294,5.78731918334961e-17
8117.08299000039,5.808300018310548e-17
8118.950314275181,5.407734870910645e-17
8120.82252628581,5.2251987457275396e-17
8122.690710836009,5.426637172698975e-17
