id,x_0,y_0,sharpness,roundness1,roundness2,npix,sky,peak,flux_0,mag,group_id,x_fit,y_fit,flux_fit,flux_unc,x_0_unc,y_0_unc
465,239.3917265245301,187.58456979419248,0.46211951072817337,-0.20244354009628296,-0.1568108718481648,25,0.0,0.06116582453250885,1.3540362119674683,-0.3290756978878687,278,239.48958529860926,187.98508473653217,1.286174029406845,0.37735078088704793,0.41007109910164,0.42456772607303855
458,50.29523378061764,185.54674477477855,0.5043990669229683,-0.5898423790931702,-0.09483563206665022,25,0.0,0.05128099024295807,1.027575135231018,-0.02953396718105251,279,49.975306926253445,185.2700182920648,1.0053266157986582,0.7332813057343606,0.1324493983922626,0.05022028255626872
469,54.98294815998307,189.47043964079035,0.45060345545966124,-0.07713503390550613,-0.053543724514779276,25,0.0,0.37918370962142944,8.712178230285645,-2.350316878657004,279,54.96941654384301,189.43095513351497,8.876214924445604,0.05902317224291985,0.031258570737329044,0.023483780153923016
460,210.60139022439472,184.85996252660087,0.36145138828464324,-0.18460433185100555,-0.0707153472211245,25,0.0,0.05963292717933655,1.2554904222488403,-0.24703350990561937,280,210.68055814560458,185.21377767371663,1.5749675551051054,0.04350188955264992,0.07558910488200551,0.058761062495755835
461,81.38432412110933,186.38226559357483,0.47702157063742495,-0.383317232131958,-0.4608318530056518,25,0.0,0.0982041209936142,1.0388578176498413,-0.041390280742036815,281,82.50495148558153,186.3834194432605,3.4595412077871814,0.14944177768950506,0.03078606850552277,0.03148328073665214
462,371.63334621109504,186.59442910705255,0.43588255839388623,-0.22846950590610504,0.01484617794575365,25,0.0,1.129460334777832,25.99704933166504,-3.5373101457255136,282,371.5454859806154,186.5709554681656,26.82794412287666,0.14307160751648393,0.042590582048591646,0.04943945765009069
463,451.30185793462573,185.71731348639182,0.4337024518894553,-0.339952677488327,-0.032548893147959265,25,0.0,0.0893038660287857,1.934719443321228,-0.7165449905043351,283,451.23955030690246,186.0904785539849,1.9951570575192799,0.18730649568019184,0.0839459423593388,0.07212159956255322
464,12.443928536584014,188.3165759355909,0.4446314651382502,-0.10491862148046494,-0.10008617178299144,25,0.0,0.62149977684021,14.037747383117676,-2.8682435569540616,284,12.376241712702686,188.28121985888302,14.231691939594633,0.22950238751250704,0.013251167203967115,0.010584398147331414
466,299.92481438879946,188.3142148063728,0.43049757120242677,-0.0592164546251297,-0.25757511423412,25,0.0,0.2739018499851227,6.149698257446289,-1.9721345177552392,285,300.0869804781501,188.34542474808333,5.699389321855621,0.048388497607820935,0.01908125764626033,0.020445913818288183
472,293.0300160142019,188.6702310430731,0.43438471587418037,-0.1033720076084137,-0.03841202509098932,25,0.0,1.0921030044555664,26.11124610900879,-3.5420689954662867,285,292.9646466305159,188.7157724065846,23.222572607955666,0.1123182047598524,0.036285535262517016,0.031598855255706125
