id,x_0,y_0,sharpness,roundness1,roundness2,npix,sky,peak,flux_0,mag,group_id,x_fit,y_fit,flux_fit,flux_unc,x_0_unc,y_0_unc,iter_detected
154,342.8045834813512,105.76971295984413,0.3614522695398674,0.052708402276039124,0.05354465369368217,25,0.0,0.7909054160118103,8.446864128112793,-2.3167387710060834,101,342.6848661130741,105.8753810962526,21.212394645318835,0.21777030968569694,0.05028911047579809,0.03855380364931181,1
155,296.357341647872,107.37887173290179,0.41846528131675725,0.006450085435062647,-0.041923550086291575,25,0.0,0.563984215259552,5.49103307723999,-1.849135149621073,102,296.41342364530834,107.56459813981047,14.229159375810989,0.1946162460586999,0.014427325101620474,0.01074443262728768,1
157,136.83738159439125,107.885029050489,0.394212445253189,-0.02924286760389805,0.6463371408036134,25,0.0,0.12361212819814682,1.0605241060256958,-0.06380136151607298,103,136.61914897668444,107.75396339253057,4.229074193552957,0.19271242000795405,0.06551993329002806,0.05040453660742843,1
158,237.78897960309533,109.41071442737946,0.2564409650694278,-0.4190424382686615,0.6474071232434322,25,0.0,0.1596003621816635,1.085852026939392,-0.08942661593540441,104,237.65762321830064,108.01097602924189,4.468380509301382,0.1462806311690607,0.014706801030512237,0.02305656648976038,1
162,238.38520882451522,114.26287645520796,0.4073391998513501,0.06186164543032646,-0.059045590935758625,25,0.0,0.7484114766120911,7.292762756347656,-2.1572302139825763,104,238.42452434140532,114.39545838377227,19.33783999805404,0.12762785914141753,0.06342572305906446,0.04856992641965989,1
159,66.26491382580507,110.59427167429813,0.5439983886639611,-0.8444139957427979,-0.6771491104562218,25,0.0,0.29166728258132935,1.3584308624267578,-0.33259384955936133,105,65.2378935721686,118.9417228491889,5.8606069135158805,0.17915336171943586,0.106965896221584,0.10379178958122261,1
160,116.51305581093155,111.29312606114354,0.38853691575011706,-0.19954384863376617,-0.0544586498237916,25,0.0,0.7289742827415466,7.269342422485352,-2.153737816967955,106,116.48051370452511,111.39171107802106,19.966216878160747,0.13803305046626507,0.019878143424943946,0.016720618765498237,1
161,229.1848343168775,112.50246011903076,0.4378145355330065,-0.306186318397522,-0.4395149632303134,25,0.0,0.18048609793186188,1.6092329025268555,-0.5165472590392785,107,228.76808828244015,112.7800984259212,4.898873594162997,0.21824723575325927,0.013397091122890994,0.016233659235907725,1
163,105.46866027473786,115.74518792923112,0.36243835924162376,0.01138621848076582,-0.1100137343927549,25,0.0,0.5420403480529785,5.128006458282471,-1.7748714086690014,108,105.36426907648159,115.95813517329118,15.469423026967744,0.30075071356883115,0.022230844519305633,0.030143212054013865,1
164,1.278832272241387,117.872920791264,0.23646945479638212,0.7219038009643555,1.8356356517189294,25,0.0,0.13337837159633636,1.1830718517303467,-0.18252780379806288,109,1.2826738802618995,109.00611185106062,31.655699229068965,0.4074285770944702,0.24740324247523102,0.29706254018374856,1
