    mch    max      nmg    fet     nU   nB   nV   nR   nI    hU   hB   hV   hR   hI     RA (2000.0) Dec        dRA   dDec
    434    153    11383    150     28   99  100  106  118    18   10    7   10   15  04 24 41.39 -21 11 02.6   14.8  13.5   Eridanus 
    428    388     2853    177    108  158  177  177  177    39   54   67   51   63  04 31 42.41 -53 36 09.7   19.3  19.7   LB1735 
    927    537    34166    219      0  200  208  135  188     0   94   85   18   18  04 36 08.38 -58 51 36.4   23.4  26.2   Reticulum 
    195    197      615    151     98  121  143  143  143    39   39   39   39   39  04 38 35.12 -46 10 02.8   19.0  18.6   MCT0436 
    782    355    21857    725      4  429  672  469  657     4   17   42   14   55  04 45 37.26 +31 22 47.3   33.8  33.8   Pal2 
    749    750     5162    518      0  462  476  407  238     0  241  240   54    8  04 45 47.09 -84 00 23.1   15.6  16.8   NGC1841 
    276    107     3449     44      4   17   17    2   15     4   17   14    2   14  04 52 40.81 +00 01 13.6   29.2  42.5   L96 
    369    232   195513    179      0  168  168    0  157     0   27   27    0   17  04 54 19.07 -70 27 01.0   13.8  13.8   NGC1754 
    131    133      962     58      0    2    1    2    0     0    2    1    2    0  04 58 47.91 -66 12 00.4    0.6   0.5   HD32533 
    874    613   396322     94      0   92   92   48   92     0   39   40   17   32  04 59 08.31 -67 44 27.4    6.5   6.0   NGC1786 
    245     92  1004280    553      0  210  267    0  266     0   12   16    0   10  05 09 40.89 -68 42 48.6   19.5  31.3   LMC4 
   1496   1199   485223   2578    175  348 1988    0 1986   135  234  235    0  233  05 13 43.81 -65 18 10.6   36.3  44.4   NGC1866 
   3228   1836    64955   3110   1640 2863 2864 2247 2878    16  233  264   34  169  05 13 58.61 -40 00 04.1   37.1  40.1   NGC1851 
    260     73    37834    198      0  168  187    0  184     0    6    8    0    9  05 20 08.94 +30 35 59.4   33.4  33.8   Be17 
    160     42    49381    378      0  353  362    0  339     0    7    7    0    7  05 21 38.45 +45 26 35.1   33.6  32.6   Be18 
   2442   1613    40098    984    746  896  909  331  858    26  161  165   10  154  05 24 00.40 -24 27 55.4   36.4  38.2   NGC1904 
    237    179    16475    196    152  184  191  191  191    35   35   35   36   34  05 28 49.18 -00 22 39.5   18.0  18.9   Orion5 
    542     43  1785787    166      0  121  122    0  107     0   15   16    0    8  05 29 59.84 -67 19 10.1   16.0  30.6   NGC2004 
    308     99    17519    367      0  343  360    0  360     0   10   10    0   10  05 32 23.02 +00 11 52.8   27.4  32.2   Be20 
   2011    549    20432    514      0    0   91  125  134     0    0   24   15   53  05 35 03.96 -05 25 24.2   23.4  33.1   Orion 
   2266    468  1712719   1464    929 1255 1271  662  920    30   41   54   37   33  05 37 50.94 -69 26 02.3   64.2  56.8   SN1987A 
    202    204    46871    338      0  313  229  313  141     0   41   19   44   17  05 44 01.65 -68 21 55.7   17.0  11.8   Cal83 
    246    248     1903     67     36   53   60   60   60     9   11   16   12   11  05 49 03.74 +19 04 14.0   10.0   9.4   SU_Tau 
   1071    569     6626    533    245  470  527  348  527    74   96   96   81   99  05 51 26.52 -49 06 48.5   33.2  34.1   MCT0550 
    314    291    11895    405    362  387  393  393  393    46   35   84   32   32  05 52 19.01 +15 53 22.3   16.3  16.0   GD71 
    224     65     8290    119     10   13   13    6    6     9   12   12    6    6  05 57 56.54 +00 05 54.0   24.5  30.7   L97 
    816    173   138202   1171    431  597  687  156  687    16   18   37   16   33  06 07 52.20 +24 10 07.2   57.8  44.8   NGC2158_2168 
   1340    712   471687    246      0  171  176    0  169     0   68   72    0   32  06 11 31.23 -69 07 13.0   13.3  13.2   NGC2210 
    948    389    82373    812      0  594  647  312  450     0   86   86   12   12  06 30 28.73 -64 12 01.6   43.9  45.5   NGC2257 
    176     46    54743    219      0  190  206    0  203     0    8    7    0    8  06 35 35.34 +09 26 35.5   33.2  33.9   Tr5 
   5163    783    32822   1368      0  606 1022  926 1021     0   16  176   10  243  06 40 58.84 +09 38 20.0   33.3  33.9   NGC2264 
   7146    649   246037   8958   1306 7937 8106 1100 2286    14  150  191   17   59  06 41 40.57 -51 02 36.4  172.7 149.0   Carina 
   1080    452     6167    391     81  273  304  221  269    11   41   39   26   28  06 42 17.15 -45 13 02.1   28.7  20.2   E3 
   1259    898    26316   1305    993 1050 1170  811 1144    13  159  156   25  164  06 49 16.07 -35 56 38.0   22.2  21.9   NGC2298 
  14203   3102   124376   2971   2284 2873 2921 2910 2915   160  365  399  264  389  06 51 56.46 -00 18 07.3   57.9  59.5   L98 
    332     96    38328    309      0  296  303    0  297     0    9    9    0    9  06 52 52.76 +16 54 39.1   33.8  33.8   Be29 
    278    174    46998    239      0  207  234    0  234     0   16   17    0   19  07 17 39.76 -15 36 00.6   17.5  16.5   NGC2360 
   7041   2366    45622   2086   1511 2068 2074 2073 2073    99  249  270  217  242  07 24 13.27 -00 31 35.4   58.2  49.2   Ru149 
   1628    820    32397   1837   1099 1780 1781  831 1674    52  110  123   66   96  07 29 27.46 -02 07 36.6   39.4  36.6   Ru152 
   2156    634    94722   2499    336 1569 2224 2084 2283     7   31   67   43   75  07 37 40.61 +38 52 58.1   36.0  34.4   NGC2419 
    461    211    13971    541    198  480  526  253  526     5   27   30   18   29  07 37 58.83 +21 34 36.5   33.4  33.2   NGC2420 
     40     42     1440     53      0   43   47    0   47     0   11   11    0   11  07 39 18.50 -62 02 42.7    3.7   3.5   SN1993A 
    716    378    23987   1212   1026 1172 1190 1191 1190    14   54   55   44   37  07 41 39.87 -14 48 28.3   19.4  19.4   NGC2437 
    148    145    11939    339      0  334  338  334  338     0   18   22   10   14  07 52 09.72 -38 29 41.8   17.6  16.4   NGC2477 
    141     54     5520    240     14   15   15   14   14     9    9    9   10    8  07 54 52.53 -00 33 57.2   37.1  38.0   L99 
    122     40    23307    152      0   95   54    0   95     0    6    5    0    6  08 00 04.24 -10 46 10.3   20.1  19.8   NGC2506 
    296    158    20127    232    114  218  223  222  217    15   18   26   18   17  08 10 06.27 -49 12 23.5   29.5  29.5   NGC2547 
   1091   1093    13883    735    652  734  735  735  735   147  182  200  156  180  08 10 33.03 -40 30 50.5   19.3  19.1   LSS982 
    249    243    28237    638    504  619  633  633  633    33   28   29   29   28  08 12 12.12 -37 34 13.0   36.0  36.2   NGC2546 
    150    153     3245    281    183  275  279  279  279    29   27   33   26   26  08 20 22.80 -00 10 36.9   19.6  19.3   J082025 
    760    609    48332    329    254  309  317  285  320    69  103  109   67  123  08 31 25.22 -53 38 55.9   32.9  23.9   WD0830 
    182    154     1940    219    209  217  217  217  217    28   27   28   27   27  08 43 51.02 -02 25 26.4   18.0  17.9   SF0841 
    769    197    15889    356      0  151  284  285  325     0    6   27   11   37  08 50 38.41 +63 07 32.6   33.6  33.4   UMaII 
   3760   1169    29145   1655    634  918 1447  597 1446    30   44   48   14   36  08 51 35.81 +11 53 57.4   52.4  46.5   NGC2682 
    233    129     1714    155     10   12   38   32   28     9    9   14    6    9  08 53 02.38 -00 40 45.0   26.1  16.8   L100 
    278    154    46427    243    105  210  209   76  166    10   25   22    9   22  09 07 59.20 -37 13 04.6   12.3  13.0   Pyxis 
   4123   2397   157092   2330   2067 2196 2194 1322 2135    41  204  310  108  187  09 11 29.18 -64 48 06.1   37.1  37.1   NGC2808 
   1207    661    15084    992    398  771  786  823  733    15   88   82   84   57  09 16 06.20 -36 36 37.5   15.6  15.0   NGC2818 
    195    164    11978    188    149  157  178    0  179    12   17   19    0   19  09 18 59.41 -45 33 44.0   21.0  18.7   E4_108 
    398    126    14898    850    368  773  800  209  698     6   17   26    6   22  09 20 29.13 -77 12 56.7   32.4  28.3   E3cluster 
   2962   1025     6381    800    351  681  737  742  738    35   64   76   62   69  09 21 26.71 +02 45 40.4   42.8  46.4   PG0918 
    498    142     7717    332      0  205  226  248   38     0   35   41    9    5  09 23 34.10 -45 28 09.3   31.5  20.9   E4 
   1202    552     3522    137     61   78  107   86  107    23   28   46   29   44  09 45 04.11 -03 06 19.1   30.3  28.5   PG0942 
   8347   1213    17297   1258    395 1107 1162 1149 1144    50  144  161  125  144  09 56 24.07 -00 17 51.5   66.2  49.9   L101 
   1065    298    16484    394      0  182  291    0  291     0    5   17    0  114  09 58 57.67 +30 44 10.0   33.5  33.9   LeoA 
    573    150    11821    318      0   79  100   78  104     0    8    9   11   43  09 59 36.92 +05 19 00.5   33.2  32.8   SextansB 
